Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)","New Hampshire",11,0,"Heavy Duty",Trucks,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",44,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",61,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",279,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",11,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",8,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Hampshire",7,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",NH
2017,"Ethanol, 85 percent (E85)","New Jersey",1186,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Jersey",563,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Jersey",825,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Jersey",1837,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Jersey",1399,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Jersey",1,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",NJ
2017,"Ethanol, 85 percent (E85)","New Mexico",3,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",134,2,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",172,5,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",229,59,"Light Duty",Pickups,Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",312,27,"Light Duty",SUVs,Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",376,3,"Light Duty",Trucks,Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",285,1,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)","New Mexico",13,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",NM
2017,"Ethanol, 85 percent (E85)",Nevada,54,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",NV
2017,"Ethanol, 85 percent (E85)",Nevada,149,1,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",NV
2017,"Ethanol, 85 percent (E85)",Nevada,142,11,"Light Duty",Pickups,Non-dedicated,"State Agencies",NV
